Url,MalScore,FirstSubmission,LastSubmission,LastAnalysis,VT_Link
http://lockbit7z6dqziutocr43onmvpth32njp4abfocfauk2belljjpobxyd.onion,1,04/07/2022 8:50,07/09/2025 16:55,07/09/2025 16:55,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejZkcXppdXRvY3I0M29ubXZwdGgzMm5qcDRhYmZvY2ZhdWsyYmVsbGpqcG9ieHlkLm9uaW9u
http://lockbitaptawjl6udhpd323uehekiyatj6ftcxmkwe5sezs4fqgpjpid.onion,7,03/07/2022 20:26,03/09/2025 4:54,03/09/2025 4:54,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRhcHRhd2psNnVkaHBkMzIzdWVoZWtpeWF0ajZmdGN4bWt3ZTVzZXpzNGZxZ3BqcGlkLm9uaW9u
http://lockbitsupqfyacidr6upt6nhhyipujvaablubuevxj6xy3frthvr3yd.onion,4,06/07/2022 1:33,04/09/2025 0:22,04/09/2025 0:22,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXBxZnlhY2lkcjZ1cHQ2bmhoeWlwdWp2YWFibHVidWV2eGo2eHkzZnJ0aHZyM3lkLm9uaW9u
http://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd.onion,9,11/12/2021 5:55,24/08/2025 18:50,24/08/2025 18:50,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRhcHQ1eDR6a2piY3FtejZmcmRoZWNxcWdhZGV2eWl3cXh1a2tzc3BubGlkeXZkN3FkLm9uaW9u
http://lockbit7z4cgxvictidwfxpuiov4scdw34nxotmbdjyxpkvkg34mykyd.onion,1,04/07/2022 8:50,04/09/2025 6:55,04/09/2025 6:55,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejRjZ3h2aWN0aWR3ZnhwdWlvdjRzY2R3MzRueG90bWJkanl4cGt2a2czNG15a3lkLm9uaW9u
http://lockbitaptc2iq4atewz2ise62q63wfktyrl4qtwuk5qax262kgtzjqd.onion,10,10/12/2021 8:15,26/08/2025 5:50,26/08/2025 5:50,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRhcHRjMmlxNGF0ZXd6MmlzZTYycTYzd2ZrdHlybDRxdHd1azVxYXgyNjJrZ3R6anFkLm9uaW9u
http://lockbitsupuhswh4izvoucoxsbnotkmgq6durg7kficg6u33zfvq3oyd.onion,10,06/07/2022 1:33,24/08/2025 18:50,24/08/2025 18:50,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXB1aHN3aDRpenZvdWNveHNibm90a21ncTZkdXJnN2tmaWNnNnUzM3pmdnEzb3lkLm9uaW9u
http://lockbit7z3ujnkhxwahhjduh5me2updvzxewhhc5qvk2snxezoi5drad.onion,1,04/07/2022 8:50,20/08/2025 4:54,20/08/2025 4:54,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejN1am5raHh3YWhoamR1aDVtZTJ1cGR2enhld2hoYzVxdmsyc254ZXpvaTVkcmFkLm9uaW9u
http://lockbit7z6qinyhhmibvycu5kwmcvgrbpvtztkvvmdce5zwtucaeyrqd.onion,1,04/07/2022 8:50,02/09/2025 1:57,02/09/2025 1:57,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejZxaW55aGhtaWJ2eWN1NWt3bWN2Z3JicHZ0enRrdnZtZGNlNXp3dHVjYWV5cnFkLm9uaW9u
http://lockbit7z6choojah4ipvdpzzfzxxchjbecnmtn4povk6ifdvx2dpnid.onion,1,04/07/2022 8:50,01/09/2025 0:57,01/09/2025 0:57,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejZjaG9vamFoNGlwdmRwenpmenh4Y2hqYmVjbm10bjRwb3ZrNmlmZHZ4MmRwbmlkLm9uaW9u
http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion,1,28/06/2022 23:38,21/08/2025 3:52,21/08/2025 3:52,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejU1dHV3YWZsdzJjN3RvcmNyeW9iZHZoa2Nndml2aGZseW5keXZjcmV4YWZzc2FkLm9uaW9u
http://lockbitsupn2h6be2cnqpvncyhj4rgmnwn44633hnzzmtxdvjoqlp7yd.onion,10,28/01/2022 17:33,25/08/2025 1:24,25/08/2025 1:24,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXBuMmg2YmUyY25xcHZuY3loajRyZ21ud240NDYzM2huenptdHhkdmpvcWxwN3lkLm9uaW9u
http://lockbit7z3hv7ev5knxbrhsvv2mmu2rddwqizdz4vwfvxt5izrq6zqqd.onion,1,04/07/2022 8:50,10/09/2025 9:54,10/09/2025 9:54,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejNodjdldjVrbnhicmhzdnYybW11MnJkZHdxaXpkejR2d2Z2eHQ1aXpycTZ6cXFkLm9uaW9u
http://lockbit7z5hwf6ywfuzipoa42tjlmal3x5suuccngsamsgklww2xgyqd.onion,1,04/07/2022 8:50,23/06/2025 20:58,23/06/2025 20:58,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejVod2Y2eXdmdXppcG9hNDJ0amxtYWwzeDVzdXVjY25nc2Ftc2drbHd3MnhneXFkLm9uaW9u
http://lockbitsupq3g62dni2f36snrdb4n5qzqvovbtkt5xffw3draxk6gwqd.onion,7,06/07/2022 1:33,02/08/2025 0:38,02/08/2025 0:38,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXBxM2c2MmRuaTJmMzZzbnJkYjRuNXF6cXZvdmJ0a3Q1eGZmdzNkcmF4azZnd3FkLm9uaW9u
http://lockbitsupdwon76nzykzblcplixwts4n4zoecugz2bxabtapqvmzqqd.onion,4,06/07/2022 1:33,19/06/2025 8:24,19/06/2025 8:24,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXRzdXBkd29uNzZuenlremJsY3BsaXh3dHM0bjR6b2VjdWd6MmJ4YWJ0YXBxdm16cXFkLm9uaW9u
http://lockbit7z4ndl6thsct34yd47jrzdkpnfg3acfvpacuccb45pnars2ad.onion,1,04/07/2022 8:50,03/09/2025 20:57,03/09/2025 20:57,https://www.virustotal.com/gui/url/aHR0cDovL2xvY2tiaXQ3ejRuZGw2dGhzY3QzNHlkNDdqcnpka3BuZmczYWNmdnBhY3VjY2I0NXBuYXJzMmFkLm9uaW9u
